,left_number,right_number,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662645498
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1662974744
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662975225
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1662645531
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,wanderesskriti,1664431701
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,wanderesskriti,1662974816
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,wanderesskriti,1662645392
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
0,50000,100000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,raisingmavericks,1664431798
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,raisingmavericks,1662645508
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,raisingmavericks,1662975071
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,rina.livinglife,1662974779
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,rina.livinglife,1662646058
0,10000,50000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,rina.livinglife,1664431953
0,100000,500000,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mamavamerice,1662645498
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,amandane_dance,1662645460
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,amandane_dance,1664431702
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,amandane_dance,1662975275
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,crossfitcub,1662974879
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,crossfitcub,1662645478
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,crossfitcub,1664431787
0,50000,100000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1662975180
0,50000,100000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1662645409
0,50000,100000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1664432085
0,100000,500000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
0,100000,500000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
0,100000,500000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
0,100000,500000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
0,100000,500000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
0,100000,500000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
