,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
7,MALE,0.0468,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
8,MALE,0.152087,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
9,FEMALE,0.847913,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662974744
10,MALE,0.152087,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
11,FEMALE,0.847913,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1664431603
12,MALE,0.152087,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
13,FEMALE,0.847913,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,soydonn,1662645690
14,MALE,0.316913,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
15,FEMALE,0.683087,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662974742
16,FEMALE,0.686809,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
17,MALE,0.313191,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1664432130
18,MALE,0.316913,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
19,FEMALE,0.683087,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,falonbrianne,1662645717
20,MALE,0.516026,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
21,FEMALE,0.483974,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662645707
22,FEMALE,0.484027,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
23,MALE,0.515973,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1664431610
0,MALE,0.516026,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
1,FEMALE,0.483974,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,e.stis,1662975110
0,MALE,0.85221,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
1,FEMALE,0.14779,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509
2,FEMALE,0.147776,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
3,MALE,0.852224,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357
4,MALE,0.852224,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
5,FEMALE,0.147776,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
6,FEMALE,0.290867,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
7,MALE,0.709133,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
8,FEMALE,0.290963,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
9,MALE,0.709037,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
10,FEMALE,0.290963,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
11,MALE,0.709037,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
12,MALE,0.528657,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
13,FEMALE,0.471343,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
14,FEMALE,0.471343,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374
15,MALE,0.528657,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374
16,FEMALE,0.471343,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
17,MALE,0.528657,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
18,MALE,0.514833,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
19,FEMALE,0.485167,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
20,MALE,0.514893,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
21,FEMALE,0.485107,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
22,MALE,0.515077,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
23,FEMALE,0.484923,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
24,MALE,0.939398,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
25,FEMALE,0.060602,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
26,MALE,0.939398,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
27,FEMALE,0.060602,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
0,MALE,0.939398,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
1,FEMALE,0.060602,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
0,FEMALE,0.900238,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
1,MALE,0.099762,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
2,MALE,0.099584,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
3,FEMALE,0.900416,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
4,MALE,0.09956,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
5,FEMALE,0.90044,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
6,MALE,0.088624,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
7,FEMALE,0.911376,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
8,MALE,0.088483,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
9,FEMALE,0.911517,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
10,MALE,0.088483,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
11,FEMALE,0.911517,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
12,MALE,0.416137,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
