,id,name,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
5,1708,"Friends, Family & Relationships",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
6,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
7,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
8,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1664431487
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
1,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
2,7,Shopping & Retail,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
3,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
4,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
5,1708,"Friends, Family & Relationships",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
6,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
7,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
8,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Adalynandmommy,1663087024
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
1,7,Shopping & Retail,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
2,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
3,291,Wedding,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1664431489
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
1,7,Shopping & Retail,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
2,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
3,291,Wedding,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,themhoffers,1663087071
0,196,Fitness & Yoga,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
1,36,Art & Design,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
2,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
3,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
4,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
5,130,Jewellery & Watches,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
6,58,Business & Careers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
7,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
9,3,Music,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
10,21,Sports,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
11,19,"Beer, Wine & Spirits",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
0,196,Fitness & Yoga,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
1,36,Art & Design,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
2,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
3,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
4,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
5,130,Jewellery & Watches,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
6,58,Business & Careers,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
7,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
