,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
32,white,White / Caucasian,0.520829,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
33,asian,Asian,0.32051,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
34,african_american,African American,0.080127,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
35,hispanic,Hispanic,0.078534,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
36,african_american,African American,0.171813,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
37,white,White / Caucasian,0.657694,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
38,asian,Asian,0.088678,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
39,hispanic,Hispanic,0.081815,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
40,asian,Asian,0.08868,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
41,white,White / Caucasian,0.657708,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
42,african_american,African American,0.171817,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
43,hispanic,Hispanic,0.081795,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
44,white,White / Caucasian,0.657621,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
45,hispanic,Hispanic,0.081917,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
46,asian,Asian,0.088668,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
47,african_american,African American,0.171794,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
48,asian,Asian,0.112571,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
49,african_american,African American,0.112571,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
50,white,White / Caucasian,0.712948,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
51,hispanic,Hispanic,0.061911,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
52,african_american,African American,0.112571,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
53,white,White / Caucasian,0.712948,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
54,asian,Asian,0.112571,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
55,hispanic,Hispanic,0.061911,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
0,asian,Asian,0.112571,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
1,african_american,African American,0.112571,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
2,white,White / Caucasian,0.712948,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
3,hispanic,Hispanic,0.061911,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
0,white,White / Caucasian,0.7924,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
1,african_american,African American,0.030923,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
2,hispanic,Hispanic,0.056851,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
3,asian,Asian,0.119826,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
4,asian,Asian,0.119783,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
5,white,White / Caucasian,0.792115,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
6,african_american,African American,0.030912,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
7,hispanic,Hispanic,0.05719,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
8,african_american,African American,0.030901,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
9,asian,Asian,0.119743,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
10,hispanic,Hispanic,0.057504,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
11,white,White / Caucasian,0.791851,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
12,african_american,African American,0.032767,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
13,white,White / Caucasian,0.801699,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
14,asian,Asian,0.104854,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
15,hispanic,Hispanic,0.06068,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
16,asian,Asian,0.104836,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
17,african_american,African American,0.032761,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
18,white,White / Caucasian,0.80156,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
19,hispanic,Hispanic,0.060842,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
20,white,White / Caucasian,0.80169,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
21,hispanic,Hispanic,0.06069,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
