,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
8,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,navjotkamal,1664432085,0.2531,0.778,bad
9,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1664431509,0.1944,0.4937,bad
10,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662645357,0.1917,0.4828,bad
11,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848,0.1961,0.4955,bad
12,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504,0.2373,0.7717,bad
13,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731,0.2305,0.771,bad
14,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893,0.2375,0.7646,bad
15,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507,0.1242,0.3039,bad
16,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374,0.1243,0.3061,bad
17,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131,0.1221,0.3046,bad
18,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344,0.4216,0.6269,bad
19,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898,0.4204,0.6321,bad
20,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656,0.4218,0.6312,bad
21,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890,0.0856,0.8645,normal
22,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041,0.0866,0.8646,normal
23,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737,0.0817,0.8634,normal
24,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662645430,0.4248,0.8361,low
0,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662975298,0.4256,0.8348,low
0,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754,0.7039,0.8902,normal
1,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781,0.7053,0.8911,normal
2,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617,0.7025,0.8899,normal
3,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1664431479,0.25,0.4595,bad
4,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662975100,0.2498,0.4563,bad
5,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662645645,0.2524,0.4602,bad
6,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610,0.165469,0.752972,bad
7,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339,0.165469,0.752972,bad
8,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640,0.165469,0.752834,bad
9,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662645417,0.244,0.4194,bad
