,max,total,min,median,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
2,0.794403,41813,0.758816,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
3,0.816935,35839,0.794403,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
4,0.832145,31362,0.816935,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
5,0.843802,27881,0.832145,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
6,0.853146,25089,0.843802,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
7,0.860957,22808,0.853146,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
8,0.867683,20910,0.860957,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
9,0.873814,19303,0.867683,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
10,0.879422,17923,0.873814,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
11,0.884681,16723,0.879422,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
12,0.889764,15681,0.884681,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
13,0.894826,14755,0.889764,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
14,0.899842,13940,0.894826,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
15,0.905124,13203,0.899842,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
16,0.910886,12544,0.905124,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
17,0.917831,11949,0.910886,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
18,0.927463,11408,0.917831,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
19,,10915,0.927463,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
0,0.693559,62776,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
1,0.757988,50221,0.693559,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
2,0.793683,41848,0.757988,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
3,0.816277,35868,0.793683,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
4,0.831597,31388,0.816277,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
5,0.843322,27904,0.831597,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
6,0.852704,25110,0.843322,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
7,0.860533,22827,0.852704,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
8,0.867296,20928,0.860533,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
9,0.873435,19319,0.867296,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
10,0.879038,17938,0.873435,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
11,0.884322,16737,0.879038,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
12,0.889431,15694,0.884322,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
13,0.894487,14768,0.889431,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
14,0.899511,13952,0.894487,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
15,0.904812,13214,0.899511,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
16,0.910603,12555,0.904812,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
17,0.917534,11958,0.910603,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
18,0.927223,11417,0.917534,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
19,,10921,0.927223,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
0,0.716552,6028,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
1,0.780456,4822,0.716552,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
2,0.813846,4018,0.780456,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
3,0.833131,3444,0.813846,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
4,0.846815,3014,0.833131,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
5,0.856615,2679,0.846815,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
6,0.864664,2411,0.856615,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
7,0.871194,2192,0.864664,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
8,0.877138,2009,0.871194,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
9,0.882353,1855,0.877138,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
10,0.887268,1722,0.882353,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
11,0.892003,1607,0.887268,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
12,0.896663,1507,0.892003,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
13,0.901406,1418,0.896663,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
14,0.90608,1339,0.901406,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
15,0.910969,1269,0.90608,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
16,0.916651,1205,0.910969,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
17,0.922784,1148,0.916651,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
18,0.932279,1096,0.922784,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
19,,1058,0.932279,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1664431423
0,0.716552,6028,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
1,0.780456,4822,0.716552,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
2,0.813846,4018,0.780456,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
3,0.833131,3444,0.813846,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
4,0.846815,3014,0.833131,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
5,0.856615,2679,0.846815,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
6,0.864664,2411,0.856615,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
7,0.871194,2192,0.864664,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
8,0.877138,2009,0.871194,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
9,0.882353,1855,0.877138,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
10,0.887268,1722,0.882353,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
11,0.892003,1607,0.887268,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
12,0.896663,1507,0.892003,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
13,0.901406,1418,0.896663,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
14,0.90608,1339,0.901406,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
15,0.910969,1269,0.90608,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
16,0.916651,1205,0.910969,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
17,0.922784,1148,0.916651,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
18,0.932279,1096,0.922784,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
19,,1058,0.932279,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662974932
0,0.717416,6020,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
1,0.781228,4816,0.717416,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
2,0.814463,4013,0.781228,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
3,0.833713,3440,0.814463,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
4,0.847372,3010,0.833713,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
5,0.85708,2676,0.847372,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
6,0.865076,2408,0.85708,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
7,0.871589,2189,0.865076,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
8,0.877494,2007,0.871589,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
9,0.882665,1852,0.877494,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
10,0.887574,1720,0.882665,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
11,0.892309,1605,0.887574,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
12,0.896994,1505,0.892309,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
13,0.901725,1416,0.896994,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
14,0.906403,1338,0.901725,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
15,0.911226,1267,0.906403,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
16,0.916837,1204,0.911226,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
17,0.922976,1146,0.916837,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
18,0.932467,1095,0.922976,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
19,,1054,0.932467,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,lovemilanmarie,1662646464
0,0.704539,502305,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
1,0.768642,401844,0.704539,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
2,0.801014,334849,0.768642,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
3,0.821375,287005,0.801014,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
4,0.83565,251152,0.821375,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
5,0.846627,223275,0.83565,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
6,0.8555,200922,0.846627,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
7,0.863,182651,0.8555,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
8,0.8695,167456,0.863,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
9,0.875298,154584,0.8695,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
10,0.88053,143533,0.875298,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
11,0.8854,133927,0.88053,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
12,0.890039,125576,0.8854,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
13,0.894598,118167,0.890039,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
14,0.8992,111637,0.894598,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
15,0.904061,105735,0.8992,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
16,0.909463,100461,0.904061,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
