,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
35,real,0.439614,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
36,mass_followers,0.308974,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
37,suspicious,0.114427,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
38,influencers,0.357065,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
39,real,0.219534,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
40,mass_followers,0.30937,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
41,suspicious,0.114626,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
42,influencers,0.35647,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
43,real,0.219534,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
44,mass_followers,0.309866,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
45,suspicious,0.114626,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
46,influencers,0.355974,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
47,real,0.219534,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
48,mass_followers,0.125475,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
49,suspicious,0.076971,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
50,influencers,0.03679,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
51,real,0.760765,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
52,mass_followers,0.125578,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
53,suspicious,0.076971,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
54,influencers,0.036687,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
55,real,0.760765,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
0,mass_followers,0.125578,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
1,suspicious,0.076971,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
2,influencers,0.036687,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
3,real,0.760765,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
0,mass_followers,0.4388,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
1,suspicious,0.0275,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
2,influencers,0.392,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
3,real,0.1417,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
4,mass_followers,0.4385,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
5,suspicious,0.0275,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
6,influencers,0.3925,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
7,real,0.1415,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
8,mass_followers,0.4384,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
9,suspicious,0.0275,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
10,influencers,0.3924,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
11,real,0.1417,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
12,mass_followers,0.272022,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
13,suspicious,0.067485,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
14,influencers,0.249103,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
15,real,0.41139,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
16,mass_followers,0.272138,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
17,suspicious,0.067485,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
18,influencers,0.248871,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
19,real,0.411506,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
20,mass_followers,0.272254,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
21,suspicious,0.067369,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
22,influencers,0.248756,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
23,real,0.411622,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
24,mass_followers,0.293581,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
25,suspicious,0.050913,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
26,influencers,0.277809,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
27,real,0.377698,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
28,mass_followers,0.293304,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
29,suspicious,0.050636,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
30,influencers,0.278362,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
31,real,0.377698,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
32,mass_followers,0.293304,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
33,suspicious,0.050913,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
34,influencers,0.278085,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
35,real,0.377698,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
36,mass_followers,0.134576,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
37,suspicious,0.118703,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
38,influencers,0.307108,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
39,real,0.439614,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
