,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
23,FEMALE,0.230232,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,joey.gentile,1662974848
24,FEMALE,0.274143,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
25,MALE,0.725857,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662645504
26,FEMALE,0.265985,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
27,MALE,0.734015,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1662974731
28,FEMALE,0.261449,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
29,MALE,0.738551,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,berzinsky,1664431893
30,MALE,0.486079,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
31,FEMALE,0.513921,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1664431507
32,FEMALE,0.514151,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374
33,MALE,0.485849,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662645374
34,FEMALE,0.511115,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
35,MALE,0.488885,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,theregoesjonathan,1662975131
36,MALE,0.540213,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
37,FEMALE,0.459787,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662645344
38,MALE,0.537852,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
39,FEMALE,0.462148,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1662974898
40,MALE,0.540668,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
41,FEMALE,0.459332,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,tylraustin,1664431656
42,MALE,0.932139,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
43,FEMALE,0.067861,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
44,MALE,0.934676,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
45,FEMALE,0.065324,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
46,MALE,0.931119,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
47,FEMALE,0.068881,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
48,MALE,0.504102,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662645430
49,FEMALE,0.495898,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662645430
0,MALE,0.50252,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662975298
1,FEMALE,0.49748,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662975298
0,FEMALE,0.911508,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
1,MALE,0.088492,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
2,MALE,0.088129,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
3,FEMALE,0.911871,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
4,MALE,0.089072,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
5,FEMALE,0.910928,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
6,MALE,0.381825,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1664431479
7,FEMALE,0.618175,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1664431479
8,MALE,0.385398,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662975100
9,FEMALE,0.614602,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662975100
10,MALE,0.386824,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662645645
11,FEMALE,0.613176,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662645645
12,MALE,0.055016,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
13,FEMALE,0.944984,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
14,MALE,0.055016,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
15,FEMALE,0.944984,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
16,MALE,0.055016,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
17,FEMALE,0.944984,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
18,FEMALE,0.818929,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662645417
19,MALE,0.181071,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662645417
