,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
170,african_american,African American,0.030681,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
171,hispanic,Hispanic,0.248304,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
172,asian,Asian,0.097289,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
173,african_american,African American,0.03243,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
174,white,White / Caucasian,0.63238,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
175,hispanic,Hispanic,0.2379,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
176,white,White / Caucasian,0.708155,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
177,african_american,African American,0.019139,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
178,hispanic,Hispanic,0.234427,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
179,asian,Asian,0.038279,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
180,asian,Asian,0.066258,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
181,african_american,African American,0.053006,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
182,white,White / Caucasian,0.786261,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
183,hispanic,Hispanic,0.094474,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
184,white,White / Caucasian,0.785993,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
185,hispanic,Hispanic,0.094783,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
186,asian,Asian,0.066235,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
187,african_american,African American,0.052988,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
0,african_american,African American,0.053006,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
1,hispanic,Hispanic,0.094474,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
2,white,White / Caucasian,0.786261,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
3,asian,Asian,0.066258,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
0,white,White / Caucasian,0.718687,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
1,hispanic,Hispanic,0.090722,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
2,asian,Asian,0.131031,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
